Valores en miles de pesos nominales (M$) de cada año.,,,,,
,,ICAR007 (TAS) Densidad de Población por Km2,"ICAR004 (N°) Población Comunal, Estimada por el INE",ITPR (N°) Población Rural,ITPU (N°) Población Urbana
7203,PELLUHUE,21.52,7983,3490,4081
7301,CURICÓ,121.4,161223,16567,132569
7302,HUALAÑÉ,16.21,10196,3914,5743
7303,LICANTÉN,25.54,6973,1688,4965
7304,MOLINA,31.64,49109,8658,37318
7305,RAUCO,35.9,11094,4953,5531
7306,ROMERAL,9.98,15946,8658,6529
7307,SAGRADA FAMILIA,35.24,19348,10658,7886
7308,TENO,49.38,30519,19389,9532
7309,VICHUQUÉN,10.31,4390,3132,1190
7401,LINARES,68.27,100077,15930,77672
7402,COLBÚN,7.68,22279,11713,9052
7403,LONGAVÍ,22.36,32516,21287,9247
7404,PARRAL,26.97,44172,10843,30794
7405,RETIRO,25.29,20913,12911,7063
7406,SAN JAVIER,37.19,48830,12978,32569
7407,VILLA ALEGRE,91.26,17339,6545,9676
7408,YERBAS BUENAS,72.54,19005,11894,6187
8101,CONCEPCIÓN,1068.73,237257,4517,219057
8102,CORONEL,447.14,124753,3188,113074
8103,CHIGUAYANTE,1261.32,90815,75,85863
8104,FLORIDA,19.4,11813,6064,4560
8105,HUALQUI,48.96,25997,3444,20889
8106,LOTA,336.7,45791,108,43427
8107,PENCO,460.19,49700,467,46900
8108,SAN PEDRO DE LA PAZ,1269.54,143458,124,131684
8109,SANTA JUANA,20.14,14723,4155,9594
8110,TALCAHUANO,1719.6,158203,1429,150320
8111,TOMÉ,118.21,58516,5406,49540
8112,HUALPÉN,1794.33,96894,788,90985
8201,LEBU,48.2,27042,2045,23477
8202,ARAUCO,40.32,38545,8937,27320
8203,CAÑETE,48.45,36822,15043,19494
8204,CONTULMO,6.56,6313,2970,3061
8205,CURANILAHUE,34.03,33826,2114,30174
8206,LOS ÁLAMOS,37.35,22374,2309,18726
8207,TIRÚA,17.59,10975,6679,3738
8301,LOS ÁNGELES,123.97,216695,51244,151087
8302,ANTUCO,2.28,4291,1996,2077
8303,CABRERO,47.76,30564,7009,21564
8304,LAJA,70.07,23823,6167,16222
8305,MULCHÉN,16.09,30973,5478,24149
8306,NACIMIENTO,29.82,27880,3284,23031
8307,NEGRETE,66.06,10372,3682,6055
8308,QUILACO,3.72,4177,2118,1870
8309,QUILLECO,8.94,10031,4001,5586
8310,SAN ROSENDO,39.34,3619,505,2907
8311,SANTA BÁRBARA,11.59,14551,5787,7986
8312,TUCAPEL,16.52,15119,2247,11887
8313,YUMBEL,30.36,22072,8487,12711
8314,ALTO BIOBÍO,3.18,6760,5923,No Recepcionado
9101,TEMUCO,647.88,300618,19250,263165
9102,CARAHUE,18.97,25444,11280,13253
9103,CUNCO,9.45,18030,8679,8847
9104,CURARREHUE,6.63,7767,5213,2276
9105,FREIRE,27.16,25391,16720,7886
9106,GALVARINO,22.24,12630,7847,4149
9107,GORBEA,21.79,15144,4254,10160
9108,LAUTARO,44.81,40376,10692,27321
9109,LONCOCHE,25.27,24684,7020,16592
9110,MELIPEUCO,5.64,6239,3331,2807
9111,NUEVA IMPERIAL,45.86,33614,13629,18881
9112,PADRE LAS CASAS,202.25,81101,30683,45443
9113,PERQUENCO,21.74,7197,3341,3564
9114,PITRUFQUÉN,44.61,25916,8306,16531
9115,PUCÓN,23.59,29469,10169,18354
9116,SAAVEDRA,31.95,12812,9721,2729
9117,TEODORO SCHMIDT,24.26,15771,9642,5403
9118,TOLTÉN,11.72,10075,5854,3868
9119,VILCÚN,21.29,30253,12729,15422
9120,VILLARRICA,45.37,58574,18998,36480
9121,CHOLCHOL,28.59,12237,7255,4356
9201,ANGOL,46.7,55761,4351,48911
9202,COLLIPULLI,20.06,25996,6259,18339
9203,CURACAUTÍN,10.9,18137,4575,12838
9204,ERCILLA,16.94,8468,4093,3640
9205,LONQUIMAY,2.81,11014,6464,3787
9206,LOS SAUCES,8.84,7516,2847,4418
9207,LUMACO,9,10076,5515,4033
9208,PURÉN,26.22,12192,4246,7533
9209,RENAICO,40.31,10764,1898,8352
9210,TRAIGUÉN,21.26,19306,4493,14350
9211,VICTORIA,28.18,35393,9326,24856
10101,PUERTO MONTT,158.91,265863,25759,220143
10102,CALBUCO,61.66,36442,17989,15996
10103,COCHAMÓ,1.03,4016,4023,No Recepcionado
10104,FRESIA,9.91,12660,4930,7331
10105,FRUTILLAR,24.11,20034,5476,12952
10106,LOS MUERMOS,14.27,17786,8962,8106
10107,LLANQUIHUE,44,18525,3369,14222
10108,MAULLÍN,17.33,14917,7590,6626
10109,PUERTO VARAS,11.77,47845,12368,32210
10201,CASTRO,99.82,47214,9763,34044
10202,ANCUD,24.19,42379,10726,28265
10203,CHONCHI,11.68,15909,9144,5714
10204,CURACO DE VÉLEZ,50.51,4041,2723,1106
10205,DALCAHUE,12.06,14944,6562,7200
10206,PUQUELDÓN,43.29,4199,3921,No Recepcionado
10207,QUEILÉN,16.62,5534,3062,2323
10208,QUELLÓN,8.95,29043,9378,17814
10209,QUEMCHI,19.95,8780,5840,2512
10210,QUINCHAO,51.68,8320,4879,3209
10301,OSORNO,181.22,172336,13634,147826
10302,PUERTO OCTAY,5.13,9216,6946,2053
10303,PURRANQUE,14.45,21081,5966,14403
10304,PUYEHUE,7.36,11760,6669,4998
10305,RÍO NEGRO,11.3,14303,7101,6984
10306,SAN JUAN DE LA COSTA,5.07,7690,6342,1170
10307,SAN PABLO,16.56,10547,5421,4609
10401,CHAITÉN,0.59,5001,3428,1643
10402,FUTALEUFÚ,2.16,2770,765,1858
10403,HUALAIHUÉ,3.4,9487,5303,3641
10404,PALENA,0.66,1822,636,1075
11101,COYHAIQUE,Sin dato oficial,60822,7850,49968
11102,LAGO VERDE,Sin dato oficial,919,852,No Recepcionado
11201,AYSÉN,Sin dato oficial,24880,3651,20308
11202,CISNES,Sin dato oficial,5801,2403,4114
11203,GUAITECAS,Sin dato oficial,1591,138,1705
11301,COCHRANE,Sin dato oficial,3660,649,2841
11302,O´HIGGINS,Sin dato oficial,655,625,No Recepcionado
11303,TORTEL,Sin dato oficial,567,523,No Recepcionado
11401,CHILE CHICO,Sin dato oficial,5096,1703,3162
11402,RÍO IBÁÑEZ,Sin dato oficial,2689,2666,No Recepcionado
12101,PUNTA ARENAS,7.85,140132,5660,125932
12102,LAGUNA BLANCA,0.07,266,274,No Recepcionado
12103,RÍO VERDE,0.01,213,617,No Recepcionado
12104,SAN GREGORIO,0.1,686,799,No Recepcionado
12201,CABO DE HORNOS,0.09,1976,189,1874
12301,PORVENIR,0.74,7190,739,6062
12302,PRIMAVERA,0.11,696,1158,No Recepcionado
12303,TIMAUKEL,0.03,283,405,No Recepcionado
12401,NATALES,0.47,23413,2297,19180
12402,TORRES DEL PAINE,0.15,998,1209,No Recepcionado
13101,SANTIAGO,22129,486838,No Recepcionado,404495
13102,CERRILLOS,4191.24,88016,No Recepcionado,80832
13103,CERRO NAVIA,12854.73,141402,No Recepcionado,132622
13104,CONCHALÍ,12469.27,137162,No Recepcionado,126955
13105,EL BOSQUE,12249.07,171487,No Recepcionado,162505
13106,ESTACIÓN CENTRAL,13316.14,186426,No Recepcionado,147041
13107,HUECHURABA,2436.22,109630,99,98572
13108,INDEPENDENCIA,18527.29,129691,No Recepcionado,100281
13109,LA CISTERNA,9879,98790,No Recepcionado,90119
13110,LA FLORIDA,5588.46,396781,117,366799
13111,LA GRANJA,12245.4,122454,No Recepcionado,116571
13112,LA PINTANA,6088.65,188748,No Recepcionado,177335
13113,LA REINA,4305.78,99033,No Recepcionado,92787
13114,LAS CONDES,3265.75,323309,No Recepcionado,294838
13115,LO BARNECHEA,116.45,119240,2699,103134
13116,LO ESPEJO,14806.14,103643,No Recepcionado,98804
13117,LO PRADO,14730.14,103111,No Recepcionado,96249
13118,MACUL,10035.92,130467,No Recepcionado,116534
13119,MAIPÚ,4260.63,566664,3433,518194
13120,ÑUÑOA,14161.94,240753,No Recepcionado,208237
13121,PEDRO AGUIRRE CERDA,10720.5,107205,No Recepcionado,101174
13122,PEÑALOLÉN,4856.81,262268,No Recepcionado,241599
13123,PROVIDENCIA,11031.86,154446,No Recepcionado,142079
13124,PUDAHUEL,1260.64,248347,4155,226138
13125,QUILICURA,4191.59,243112,552,209858
13126,QUINTA NORMAL,10857,130284,No Recepcionado,110026
13127,RECOLETA,11380.5,182088,No Recepcionado,157851
13128,RENCA,6613.21,158717,No Recepcionado,147151
13129,SAN JOAQUÍN,10202.7,102027,No Recepcionado,94492
13130,SAN MIGUEL,12608.8,126088,No Recepcionado,107954
13131,SAN RAMÓN,12360.14,86521,No Recepcionado,82900
13132,VITACURA,3357.86,94020,No Recepcionado,85384
13201,PUENTE ALTO,7156.17,629743,12,568094
13202,PIRQUE,66.55,29616,14851,11670
13203,SAN JOSÉ DE MAIPO,3.66,18275,6981,11208
13301,COLINA,178.29,173119,28189,118018
13302,LAMPA,268.87,121528,21273,80761
13303,TILTIL,32.26,21066,6242,13070
13401,SAN BERNARDO,2123.36,329121,5065,296248
13402,BUIN,499.93,106986,13703,82911
13403,CALERA DE TANGO,382.37,27913,13847,11545
13404,PAINE,119.04,80711,26006,46753
13501,MELIPILLA,103.19,138793,38903,84724
13502,ALHUÉ,8.54,7214,3660,2784
13503,CURACAVÍ,51.54,35720,12219,20360
13504,MARÍA PINTO,37.24,14708,6923,6667
13505,SAN PEDRO,14.86,11706,9726,No Recepcionado
13601,TALAGANTE,638.8,80489,15028,59209
13602,EL MONTE,333.02,39296,5878,30045
13603,ISLA DE MAIPO,208.64,39433,9278,26941
13604,PADRE HURTADO,887.06,71852,7522,55728
13605,PEÑAFLOR,1436.84,99142,7137,83064
14101,VALDIVIA,172.36,175117,11364,154716
14102,CORRAL,7.1,5444,1821,3481
14103,LANCO,32.94,17524,5145,11607
14104,LOS LAGOS,11.44,20488,9836,9798
14105,MÁFIL,12.66,7380,2852,4243
14106,MARIQUINA,17.42,23016,11319,9959
14107,PAILLACO,23.13,20725,7736,12452
14108,PANGUIPULLI,10.9,35870,19266,15273
14201,LA UNIÓN,18.46,39446,11374,26662
14202,FUTRONO,7.19,15255,6482,8183
14203,LAGO RANCO,5.83,10281,7627,2269
14204,RÍO BUENO,14.86,32867,14229,17143
15101,ARICA,50.53,242510,16285,205079
15102,CAMARONES,0.31,1228,1255,No Recepcionado
15201,PUTRE,0.42,2493,613,2152
15202,GENERAL LAGOS,0.36,805,684,No Recepcionado
16101,CHILLÁN,385.23,196853,16092,168647
16102,BULNES,52.99,22520,8002,13491
16103,CHILLÁN VIEJO,114.01,33291,3498,27409
16104,EL CARMEN,18.6,12348,7183,4861
16105,PEMUCO,15.35,8640,4280,4168
16106,PINTO,10.12,11781,5369,5458
16107,QUILLÓN,43.98,18604,7062,10423
16108,SAN IGNACIO,45.6,16598,9277,6802
16109,YUNGAY,22.45,18499,4484,13303
16201,QUIRIHUE,20.64,12155,2121,9473
16202,COBQUECURA,9.26,5281,3559,1453
16203,COELEMU,49.12,16800,4560,11435
16204,NINHUE,13.52,5421,3714,1499
16205,PORTEZUELO,17.55,4950,3058,1804
16206,RÁNQUIL,25.15,6238,4168,1587
16207,TREHUACO,18.11,5667,3627,1774
16301,SAN CARLOS,64,55935,19763,33261
16302,COIHUECO,15.84,28147,17783,9098
16303,ÑIQUÉN,23.44,11556,9999,1153
16304,SAN FABIÁN,2.94,4607,2614,1694
16305,SAN NICOLÁS,24.58,12068,6716,4887
